playht聲音代碼,playht聲音名稱,語種,playht聲音試聽url,
en-US-Wavenet-I,Shane,English,https://cloud.google.com/text-to-speech/docs/audio/en-US-Wavenet-I.wav,
en-US-Wavenet-J,Ronald,English,https://cloud.google.com/text-to-speech/docs/audio/en-US-Wavenet-J.wav,
en-US-Guy24kRUS,Guy,English,https://media.play.ht/full_-MNf1_R0nNHpq73eg7yr.mp3,
en-US-JennyNeural,Jenny,English,https://media.play.ht/full_-MNf1VPqkdybbzkibu5J.mp3,
Lea,Léa,French,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LxWkNiI87eh_JYZjHeQ.mp3?generation=1577893074461106&alt=media,
fr-FR-Wavenet-A,Adele,French,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LQAbZg8yrp1sGFxmjYn.mp3?generation=1541014444619035&alt=media,
fr-FR-Wavenet-B,Raphael,French,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LQAbePA-21ck-dg3lvs.mp3?generation=1541014468028993&alt=media,
fr-FR-Wavenet-C,Lina,French,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LQAbiEw_gYRWamoY5QA.mp3?generation=1541014484583866&alt=media,
fr-FR-Wavenet-D,Victor,French,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LQAbpGm2-Kf1b6Rp7rp.mp3?generation=1541014517428182&alt=media,
fr-FR-Wavenet-E,Bella,French,https://cloud.google.com/text-to-speech/docs/audio/fr-FR-Wavenet-E.wav,
fr-FR-DeniseNeural,Denise,French,https://media.play.ht/full_-MWYZYl7vKW7PFrfWg8x.mp3,
fr-FR-Julie-Apollo,Julie,French,https://media.play.ht/full_-MWc0Fx4kgP1ccerlKTf.mp3,
fr-FR-HortenseRUS,Hortense,French,https://media.play.ht/full_-MWc0dvp3paqoyL7e7be.mp3,
fr-FR-Paul-Apollo,Paul,French,https://media.play.ht/full_-MWc0jLxrt7FLLBe1Fye.mp3,
fr-CA-SylvieNeural,Sylvie,French,https://media.play.ht/full_-MWYZabyROJL6GfeVaji.mp3,
fr-CA-HarmonieRUS,Harmonie,French,https://media.play.ht/full_-MWc-m_vjyXBoJ1cF_0w.mp3,
fr-CA-JeanNeural,Jean,French,https://media.play.ht/full_-MWZAQtsiL45W96kayhm.mp3,
Hans,Hans,German,https://firebasestorage.googleapis.com/v0/b/play-68705.appspot.com/o/a1.mp3?alt=media&token=9eb1e854-969b-4d5b-9c61-f7a5340c7c62,
Marlene,Marlene,German,https://firebasestorage.googleapis.com/v0/b/play-68705.appspot.com/o/a.mp3?alt=media&token=18ba5695-92fb-4605-b0f8-94f70b529a74,
VickiNeural,Vicki,German,https://media.play.ht/full_-Mh7qwOmypiqiIUn7jK5.mp3,
de-DE_BirgitV3Voice,Lina,German,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LsXl3v_RRYnFA9uTjY4.mp3?generation=1572541368431776&alt=media,
de-DE_DieterV3Voice,Elias,German,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LsXlTCP500HRWiivQEL.mp3?generation=1572541448831879&alt=media,
de-DE_ErikaV3Voice,Erika,German,https://watson-developer-cloud.github.io/doc-tutorial-downloads/text-to-speech/samples/ErikaV3.wav,
de-DE-KatjaNeural,Katja,German,https://media.play.ht/full_-MWYEURK2L5xK-n9doBP.mp3,
de-DE-Hedda,Hedda,German,https://media.play.ht/full_-MWbtJuUqzrHpZSQfZWM.mp3,
de-DE-Stefan-Apollo,Stefan,German,https://media.play.ht/full_-MWbtZMcwsROKzUCkxrg.mp3,
de-DE-ConradNeural,Conrad,German,https://media.play.ht/full_-MWZArdg2DdsN_pLGkNz.mp3,
id-ID-Wavenet-A,Cindy,Indonesian,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/id-ID-Wavenet-A.mp3?generation=1577738328897775&alt=media,
id-ID-Wavenet-B,Andy,Indonesian,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/id-ID-Wavenet-B.mp3?generation=1577738331357407&alt=media,
id-ID-Wavenet-C,Aditya,Indonesian,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/id-ID-Wavenet-C.mp3?generation=1577738333665083&alt=media,
id-ID-Wavenet-D,Widya,Indonesian,https://cloud.google.com/text-to-speech/docs/audio/id-ID-Wavenet-D.wav,
id-ID-Andika,Andika,Indonesian,https://media.play.ht/full_-MWc4FNqLt713GNWccs_.mp3,
id-ID-ArdiNeural,Ardi,Indonesian,https://media.play.ht/full_-MWZJXcKh2eLLmGzcGPY.mp3,
Mizuki,Mizuki,Japanese,https://firebasestorage.googleapis.com/v0/b/play-68705.appspot.com/o/samples%2FMizuki.mp3?alt=media&token=92639bd0-0467-43c6-b1a9-a005b2894fb9,
Takumi,Takumi,Japanese,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LxWlEVg48kq3Mr4vIJi.mp3?generation=1577893299166845&alt=media,
ja-JP-Standard-D,Eito,Japanese,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/ja-JP-Standard-D.mp3?generation=1577739046075102&alt=media,
ja-JP-Wavenet-B,Hina,Japanese,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/ja-JP-Wavenet-B.mp3?generation=1577738344156604&alt=media,
ja-JP-Wavenet-C,Akira,Japanese,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/ja-JP-Wavenet-C.mp3?generation=1577738351965290&alt=media,
ja-JP-Wavenet-D,Aito,Japanese,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/ja-JP-Wavenet-D.mp3?generation=1577738354188304&alt=media,
ja-JP_EmiV3Voice,Airi,Japanese,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LsXm6ux9_DjrM7HPzM7.mp3?generation=1572541622846285&alt=media,
ja-JP-NanamiNeural,Nanami,Japanese,https://media.play.ht/full_-MWY_rI7FQKUMBeJ8CmT.mp3,
ja-JP-Ayumi-Apollo,Ayumi,Japanese,https://media.play.ht/full_-MWc6p9joS0sugoQqIFB.mp3,
ja-JP-Ichiro-Apollo,Ichiro,Japanese,https://media.play.ht/full_-MWc6vcu6KVWg5RiLYfJ.mp3,
SeoyeonNeural,Seoyeon,Korean,https://media.play.ht/full_-Mh7qhC8fFDYHUDMvNkc.mp3,
ko-KR-Standard-D,Chae-koo,Korean,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/ko-KR-Standard-D.mp3?generation=1577739038153498&alt=media,
ko-KR-Wavenet-B,Chan-sook,Korean,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/ko-KR-Wavenet-C.mp3?generation=1577738359324598&alt=media,
ko-KR-Wavenet-C,Cheol,Korean,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/ko-KR-Wavenet-C.mp3?generation=1577738359324598&alt=media,
ko-KR-Wavenet-D,Chang-min,Korean,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/ko-KR-Wavenet-D.mp3?generation=1577738362072975&alt=media,
ko-KR_SiWooVoice,SiWoo,Korean,https://watson-developer-cloud.github.io/doc-tutorial-downloads/text-to-speech/samples-neural/SiWoo.wav,
ko-KR-SunHiNeural,SunHi,Korean,https://media.play.ht/full_-MWYa62KdZj9z8ZJRrr9.mp3,
ko-KR-InJoonNeural,InJoon,Korean,https://media.play.ht/full_-MWbmtYewiUaYwLcwnuy.mp3,
Maxim,Maxim,Russian,https://firebasestorage.googleapis.com/v0/b/play-68705.appspot.com/o/maxim.mp3?alt=media&token=a0bb06cc-2e30-49e7-ad38-2b15fde919b1,
Tatyana,Tatyana,Russian,https://firebasestorage.googleapis.com/v0/b/play-68705.appspot.com/o/tatayana.mp3?alt=media&token=e8c3aa94-c9dc-4867-8e28-e0e680ab2883,
ru-RU-Wavenet-A,Annika,Russian,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/ru-RU-Wavenet-A.mp3?generation=1577738424041004&alt=media,
ru-RU-Wavenet-B,Alyosha,Russian,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/ru-RU-Wavenet-B.mp3?generation=1577738431705078&alt=media,
ru-RU-Wavenet-C,Khristina,Russian,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/ru-RU-Wavenet-C.mp3?generation=1577738433887601&alt=media,
ru-RU-Wavenet-D,Artyom,Russian,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/ru-RU-Wavenet-D.mp3?generation=1577738437044750&alt=media,
ru-RU-Wavenet-E,Irina,Russian,https://cloud.google.com/text-to-speech/docs/audio/ru-RU-Wavenet-E.wav,
ru-RU-DariyaNeural,Dariya,Russian,https://media.play.ht/full_-MWYdCZh5i100oyQ2i0x.mp3,
ru-RU-DmitryNeural,Dmitry,Russian,https://media.play.ht/full_-MWgmWGR5BqkUmXmX07U.mp3,
ru-RU-SvetlanaNeural,Svetlana,Russian,https://media.play.ht/full_-MWgmYhHQZGtJlNXeId4.mp3,
Conchita,Conchita,Spanish,https://firebasestorage.googleapis.com/v0/b/play-68705.appspot.com/o/samples%2FConchita.mp3?alt=media&token=eddf8f9f-1955-4c64-b9f3-eba108bb44cf,
Enrique,Enrique,Spanish,https://firebasestorage.googleapis.com/v0/b/play-68705.appspot.com/o/samples%2FEnrique.mp3?alt=media&token=d63e84ae-0956-4aa1-ac4e-d1a632ed6314,
Lucia,Lucia,Spanish,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LxWjmfGFqFTI8WWnfin.mp3?generation=1577892919023354&alt=media,
es-ES-Standard-B,Horacio,Spanish,https://cloud.google.com/text-to-speech/docs/audio/es-ES-Standard-B.wav,
es-ES-Standard-D,Paulita,Spanish,https://cloud.google.com/text-to-speech/docs/audio/es-ES-Standard-D.wav,
es-ES-Wavenet-B,Horacio,Spanish,https://cloud.google.com/text-to-speech/docs/audio/es-ES-Wavenet-B.wav,
es-ES-Wavenet-C,Gaspara,Spanish,https://cloud.google.com/text-to-speech/docs/audio/es-ES-Wavenet-C.wav,
es-ES_LauraV3Voice,Lucia,Spanish,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LsXmlhpvxUEy9hTmu6v.mp3?generation=1572541789144215&alt=media,
es-ES-ElviraNeural,Elvira,Spanish,https://media.play.ht/full_-MWYF5hoHdE0N0ww1jgt.mp3,
es-ES-Laura-Apollo,Laura,Spanish,https://media.play.ht/full_-MWbvxhAik2FSKYovhTi.mp3,
es-ES-HelenaRUS,Helena,Spanish,https://media.play.ht/full_-MWbzK7mXr1NkdUfPc8E.mp3,
es-ES-Pablo-Apollo,Pablo,Spanish,https://media.play.ht/full_-MWbzS087E3PSDJQSB4A.mp3,
es-ES-AlvaroNeural,Alvaro,Spanish,https://media.play.ht/full_-MWboKlpbYqOrNPai5P6.mp3,
